Import data
Number of fabs after import 4927
Filter data
N fabs before filter: 4927, n fabs after filter: 4691
N fabs before filter: 46, n fabs after filter: 46
N fabs before filter: 4691, n fabs after filter: 4344
N fabs before filter: 46, n fabs after filter: 46
N fabs before filter: 4344, n fabs after filter: 4277
Format data
Preparing model inputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Preparing model outputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Preparing model inputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Preparing model outputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Size train/val set:  4277 , size test set: 46
Prepare dataloaders
Size train set: 4177, val set: 100, test set: 46
Start training
 Train |  Val 
270.33 |   2.15
  2.02 |   1.86
  1.84 |   1.73
  1.73 |   1.60
  1.62 |   1.63
  1.58 |   1.59
  1.55 |   1.50
  1.53 |   1.46
  1.52 |   1.52
  1.52 |   1.54
  1.50 |   1.47
  1.50 |   1.46
  1.49 |   1.52
  1.48 |   1.44
  1.48 |   1.48
  1.47 |   1.44
  1.47 |   1.43
  1.46 |   1.44
  1.46 |   1.44
  1.45 |   1.42
  1.45 |   1.42
  1.45 |   1.40
  1.45 |   1.42
  1.44 |   1.39
  1.44 |   1.42
  1.44 |   1.41
  1.44 |   1.43
  1.44 |   1.41
  1.44 |   1.39
  1.44 |   1.41
  1.43 |   1.38
  1.43 |   1.40
  1.43 |   1.47
  1.44 |   1.41
  1.43 |   1.40
  1.43 |   1.37
  1.43 |   1.39
  1.43 |   1.38
  1.43 |   1.45
  1.43 |   1.39
  1.42 |   1.38
  1.42 |   1.37
  1.42 |   1.40
  1.42 |   1.38
  1.42 |   1.41
  1.42 |   1.39
  1.42 |   1.43
  1.42 |   1.39
  1.42 |   1.40
  1.42 |   1.36
  1.42 |   1.38
  1.42 |   1.35
  1.42 |   1.36
  1.42 |   1.38
  1.42 |   1.37
  1.42 |   1.42
  1.42 |   1.37
  1.41 |   1.39
