Import data
Number of fabs after import 4927
Filter data
N fabs before filter: 4927, n fabs after filter: 4691
N fabs before filter: 46, n fabs after filter: 46
N fabs before filter: 4691, n fabs after filter: 4344
N fabs before filter: 46, n fabs after filter: 46
N fabs before filter: 4344, n fabs after filter: 4277
Format data
Preparing model inputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Preparing model outputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Preparing model inputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Preparing model outputs ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
Size train/val set:  4277 , size test set: 46
Prepare dataloaders
Size train set: 4177, val set: 100, test set: 46
Start training
 Train |  Val 
174.76 |   2.34
  2.33 |   1.80
  1.77 |   1.66
  1.66 |   1.57
  1.61 |   1.57
  1.58 |   1.49
  1.55 |   1.48
  1.54 |   1.46
  1.52 |   1.46
  1.51 |   1.44
  1.50 |   1.48
  1.50 |   1.44
  1.49 |   1.48
  1.49 |   1.48
  1.48 |   1.45
  1.48 |   1.47
  1.47 |   1.43
  1.47 |   1.48
  1.47 |   1.41
  1.46 |   1.44
  1.46 |   1.42
  1.46 |   1.40
  1.46 |   1.42
  1.46 |   1.66
  1.47 |   1.39
  1.45 |   1.42
  1.45 |   1.42
  1.45 |   1.41
  1.45 |   1.41
  1.45 |   1.45
  1.45 |   1.41
  1.44 |   1.40
  1.44 |   1.38
  1.44 |   1.40
  1.44 |   1.39
  1.44 |   1.41
  1.44 |   1.43
  1.44 |   1.43
  1.43 |   1.40
  1.43 |   1.37
  1.43 |   1.40
  1.43 |   1.37
